id,Titel,Nachname,Vornamen,Geburtsjahr,Gruppenname,WahlkreisNr,LandId,Listenplatz,Jahr
4251.0,,Theurer,Michael,1967.0,FDP,271,BW,1,2017.0
4252.0,,Thews,Michael,1964.0,SPD,145,NW,61,2017.0
4253.0,,Thiel,Steffen,1976.0,NPD,073,ST,4,2017.0
4254.0,,Thiel,Theresa,1994.0,Die PARTEI,,BE,6,2017.0
4255.0,,Thiel,Barbara Regina,1955.0,CDU,,NI,34,2017.0
4256.0,,Thiel,Simone,1978.0,CDU,,RP,37,2017.0
4257.0,,Thiel,Thomas,1973.0,AfD,251,,,2017.0
4258.0,Dr.,Thiele,Thomas,1957.0,FDP,039,NI,18,2017.0
4259.0,,Thiele,Christian,1973.0,DM,,NI,5,2017.0
4260.0,,Thielemann,Jürgen,1956.0,DM,,TH,2,2017.0
4261.0,,Thien,Stefan,1962.0,AfD,268,,,2017.0
4262.0,,Thiermann,Delphine,1991.0,AfD,021,HH,6,2017.0
4263.0,,Thies,Hans-Jürgen,1955.0,CDU,146,NW,49,2017.0
4264.0,,Thiesen,Holger,1954.0,BGE,,SH,3,2017.0
4265.0,Dr.,Thissen,Karin,1960.0,SPD,003,SH,6,2017.0
4266.0,,Thoben,Christa,1941.0,CDU,,NW,82,2017.0
4267.0,,Thoma,Nicolas,1982.0,FDP,248,BY,34,2017.0
4268.0,,Thomae,Stephan,1968.0,FDP,256,BY,7,2017.0
4269.0,,Thomsen,Christian,1968.0,FREIE WÄHLER,,HH,3,2017.0
4270.0,,Thönnißen,Ines,1967.0,BGE,,SH,4,2017.0
4271.0,,Thoroe,Björn,1984.0,DIE LINKE,003,,,2017.0
4272.0,,Throm,Alexander,1968.0,CDU,267,,,2017.0
4273.0,,Thron,Jonathan,1986.0,BüSo,080,BE,7,2017.0
4274.0,,Thum,Johannes,1958.0,ÖDP,254,,,2017.0
4275.0,,Thümmel,Verena,1974.0,Bündnis C,239,,,2017.0
4276.0,,Thylmann,Tobias Michael Karl,1955.0,MLPD,144,,,2017.0
4277.0,,Tiarks,Johanna,1982.0,DIE LINKE,258,BW,11,2017.0
4278.0,,Tichatschke,Christian,1990.0,FDP,,BY,53,2017.0
4279.0,,Tickert,Rolf,1955.0,MLPD,296,SL,1,2017.0
4280.0,Dr.,Tiemann,Dietlind,1955.0,CDU,060,BB,3,2017.0
4281.0,,Tietz,Ruth,1959.0,DIE LINKE,144,,,2017.0
4282.0,,Tietze,Diana,1969.0,DIE LINKE,065,BB,9,2017.0
4283.0,,Tietz-Latza,Alexander,1981.0,GRÜNE,088,NW,28,2017.0
4284.0,,Tillmann,Antje,1964.0,CDU,193,TH,2,2017.0
4285.0,,Timm,Dierk,1967.0,SPD,091,NW,44,2017.0
4286.0,,Timm,Tassilo,1986.0,MLPD,072,ST,1,2017.0
4287.0,,Timmermann-Fechter,Astrid,1963.0,CDU,118,NW,25,2017.0
4288.0,,Tischendorf,Klaus Jürgen,1962.0,DIE LINKE,164,,,2017.0
4289.0,,Todtenhausen,Manfred,1950.0,FDP,102,NW,16,2017.0
4290.0,,Toker,Ertan,1978.0,AD-DEMOKRATEN,,NW,5,2017.0
4291.0,,Tokhi,Shivam-Ortwin,1991.0,Die PARTEI,,BE,12,2017.0
4292.0,,Tokyürek,Güldane,1973.0,DIE LINKE,095,,,2017.0
4293.0,,Tolksdorf,Stefan,1979.0,BüSo,084,BE,2,2017.0
4294.0,,Tolzin,Hans,1958.0,DM,,BW,1,2017.0
4295.0,Dr.,Toncar,Florian,1979.0,FDP,260,BW,5,2017.0
4296.0,,Tönhardt,Manuela,1952.0,NPD,086,,,2017.0
4297.0,,Tönjes,Andreas,1969.0,Die PARTEI,026,NI,21,2017.0
4298.0,,Töns,Markus,1964.0,SPD,123,NW,48,2017.0
4299.0,,Tönsmann,Marcel Rene,1989.0,V-Partei³,,BY,7,2017.0
4300.0,,Topp,Nikolaos,1979.0,Die PARTEI,,BE,47,2017.0
4301.0,,Toy-Unkel,Nevin,1969.0,AD-DEMOKRATEN,,NW,4,2017.0
4302.0,,Träger,Carsten Dietmar,1973.0,SPD,243,BY,19,2017.0
4303.0,,Trapp,Samuel,1988.0,Die PARTEI,,BY,19,2017.0
4304.0,,Trapphagen,Ingo,1969.0,Die PARTEI,094,NW,11,2017.0
4305.0,,Trede,Eike Kathleen,1982.0,ÖDP,,SH,2,2017.0
4306.0,,Treder,Christian,1993.0,Die PARTEI,,BW,25,2017.0
4307.0,,Treffler,Christina,1980.0,ÖDP,213,BY,10,2017.0
4308.0,,Trefzer,Martin,1969.0,AfD,084,,,2017.0
4309.0,,Treib,Edmund Helmut,1957.0,V-Partei³,,NI,1,2017.0
4310.0,,Treiber,Tim,1992.0,Tierschutzpartei,,BW,13,2017.0
4311.0,,Treiber,Arno,1964.0,AfD,243,,,2017.0
4312.0,,Trendelenburg,Rolf-Andreas,1952.0,MLPD,,BE,10,2017.0
4313.0,,Trenkenschu,Anatoli,1974.0,AfD,,NI,12,2017.0
4314.0,,Treppschuh,Katrin,1962.0,CDU,,ST,10,2017.0
4315.0,,Treptow,Ute,1954.0,Die PARTEI,,HB,1,2017.0
4316.0,,Tressel,Markus Stefan,1977.0,GRÜNE,297,SL,1,2017.0
4317.0,,Trester,Marc-Friedrich,1971.0,CDU,,SH,18,2017.0
4318.0,,Tretter,Daniel,1982.0,Die PARTEI,,BE,65,2017.0
4319.0,,Trinkert,Ilona,1962.0,DM,,HE,5,2017.0
4320.0,,Trinkmann,Alexander Wilhelm,1983.0,CSU,,BY,60,2017.0
